date,open,close,high,low,volume
1452399723,2936.52,2937.27,2937.52,2936.42,764.334
1452399739,2937.22,2937.25,2937.45,2937.0,514.441
1452399775,2937.04,2936.64,2937.15,2936.22,392.568
1452399804,2936.63,2936.89,2936.89,2936.0,774.725
1452399834,2937.0,2936.53,2937.14,2936.41,634.035
1452399879,2938.05,2937.24,2938.22,2937.22,438.471
1452399901,2936.54,2936.22,2936.8,2936.16,548.884
1452399927,2936.24,2936.7,2936.7,2936.0,504.244
1452399962,2937.05,2937.05,2937.31,2937.0,457.99
1452399979,2937.0,2937.64,2937.66,2937.0,526.205
1452400033,2937.67,2937.58,2937.74,2937.01,1400.46
1452400045,2937.9,2938.16,2938.16,2937.58,638.242
1452400076,2938.49,2937.97,2938.49,2937.72,757.441
1452400108,2937.54,2937.86,2938.2,2937.46,937.061
1452400131,2937.67,2937.45,2938.29,2937.45,461.182
1452400168,2938.09,2937.32,2938.15,2937.21,392.882
1452400200,2937.7,2937.35,2938.2,2937.14,606.049
1452400227,2937.59,2937.72,2938.25,2937.42,518.098
1452400270,2938.01,2938.89,2938.89,2938.0,501.646
1452400302,2938.65,2938.73,2938.87,2938.25,621.013
1452400318,2939.29,2939.22,2939.43,2938.96,437.709
1452400363,2940.0,2940.0,2941.0,2938.88,1176.13
1452400381,2939.0,2938.87,2939.0,2938.63,661.915
1452400407,2939.13,2939.46,2939.98,2939.06,583.469
1452400444,2938.81,2938.77,2938.89,2938.1,684.449
1452400477,2938.81,2938.26,2939.0,2938.06,715.764
1452400501,2938.41,2938.63,2938.96,2938.12,510.447
1452400532,2938.8,2938.93,2939.0,2938.0,786.15
1452400558,2938.8,2938.49,2939.0,2938.15,413.919
1452400600,2937.29,2937.32,2937.7,2936.59,417.198
1452400620,2937.0,2936.66,2937.79,2936.66,872.06
1452400650,2937.22,2937.1,2937.52,2936.01,776.504
1452400684,2936.21,2936.38,2936.62,2936.0,904.306
1452400697,2936.62,2936.5,2936.62,2936.01,585.501
1452400748,2935.16,2935.04,2935.51,2935.0,666.375
1452400772,2936.07,2936.09,2936.2,2935.68,497.11
1452400805,2937.54,2937.2,2938.0,2937.03,781.922
1452400832,2937.28,2935.79,2937.39,2935.65,602.076
1452400855,2936.0,2936.68,2937.09,2936.0,651.966
1452400876,2936.57,2936.62,2936.84,2936.31,300.209
1452400911,2936.72,2936.7,2936.98,2936.43,506.99
1452400925,2936.69,2936.8,2937.0,2936.69,613.987
1452400971,2936.69,2936.81,2937.0,2936.64,956.483
1452401015,2936.4,2935.85,2936.77,2935.85,1372.28
1452401041,2935.33,2935.16,2935.87,2935.16,586.662
1452401073,2936.0,2935.76,2936.28,2935.5,728.286
1452401098,2935.51,2935.55,2935.63,2935.0,849.085
1452401123,2935.54,2935.42,2935.76,2935.23,1757.24
1452401161,2935.81,2936.26,2936.46,2935.49,565.998
